eid,iso3c
2-s2.0-85162174705,ITA
2-s2.0-105010220208,AUS
2-s2.0-105010220208,CHN
2-s2.0-105010208328,FRA
2-s2.0-105010272198,CAN
2-s2.0-105010272198,USA
2-s2.0-105010272198,HKG
2-s2.0-85200558023,USA
2-s2.0-105010201938,CHN
2-s2.0-105010245601,USA
2-s2.0-105010241485,CAN
2-s2.0-105010244997,CAN
2-s2.0-105010244997,AUS
2-s2.0-85175682852,CHN
2-s2.0-105010244631,USA
2-s2.0-105010286473,NLD
2-s2.0-105010194316,ISR
2-s2.0-105010229490,FRA
2-s2.0-105010263373,USA
2-s2.0-105010286357,USA
2-s2.0-105010286357,CHN
2-s2.0-105010233867,GBR
2-s2.0-105010233867,DEU
2-s2.0-105010233867,CHN
2-s2.0-105010192138,CHN
2-s2.0-105010192138,HKG
2-s2.0-85192550795,USA
2-s2.0-105010285024,CHN
2-s2.0-105010285024,AUS
2-s2.0-105010285024,DEU
2-s2.0-105010257818,USA
2-s2.0-105010259127,USA
2-s2.0-85200593113,IND
2-s2.0-105010239879,DEU
2-s2.0-105010238665,USA
2-s2.0-85101949699,USA
2-s2.0-105010203202,USA
2-s2.0-105010233091,CHN
2-s2.0-105010205985,CHN
2-s2.0-105010203326,USA
2-s2.0-105010204778,USA
2-s2.0-85150280635,USA
2-s2.0-105010270045,USA
2-s2.0-105010274404,FRA
2-s2.0-105010215422,USA
2-s2.0-85198303576,USA
2-s2.0-105010194888,USA
2-s2.0-105010268074,AUS
2-s2.0-105010268074,CHE
2-s2.0-105010268074,JPN
2-s2.0-105010195972,USA
2-s2.0-85175562981,USA
2-s2.0-85175562981,CHN
2-s2.0-105010204780,DEU
2-s2.0-85193029883,NLD
2-s2.0-85193029883,USA
2-s2.0-105010181317,HKG
2-s2.0-105010181317,CHN
2-s2.0-105010274750,CHN
2-s2.0-105010229823,USA
2-s2.0-105010238770,JPN
2-s2.0-105010238770,USA
2-s2.0-105010231908,USA
2-s2.0-85196569214,USA
2-s2.0-85177491649,CHN
2-s2.0-85177491649,USA
2-s2.0-105010273425,USA
2-s2.0-105010273425,SWE
2-s2.0-105010216768,USA
2-s2.0-105010283457,CHE
2-s2.0-105010283457,NOR
2-s2.0-105010283457,DEU
2-s2.0-105010282244,CHN
2-s2.0-105010238562,NLD
2-s2.0-105010238562,DEU
2-s2.0-105010238562,GBR
2-s2.0-105010238562,CHN
2-s2.0-105010184854,CHN
2-s2.0-105010183520,USA
2-s2.0-105010236380,USA
2-s2.0-105010236380,HKG
2-s2.0-85196596734,GBR
2-s2.0-85196596734,USA
2-s2.0-105010227307,USA
2-s2.0-85187352910,ISR
2-s2.0-85150254208,GBR
2-s2.0-85144245815,FRA
2-s2.0-85144245815,CAN
2-s2.0-105010230962,CHN
2-s2.0-105010230962,USA
2-s2.0-105010196923,CHN
2-s2.0-105010196923,SGP
2-s2.0-105010196923,ARE
2-s2.0-105010196923,AUS
2-s2.0-105010188092,USA
2-s2.0-85150302622,USA
2-s2.0-105010193775,USA
2-s2.0-85198284633,USA
2-s2.0-85198284633,GBR
2-s2.0-85198284633,CAN
2-s2.0-105010261318,USA
2-s2.0-105010189160,GBR
2-s2.0-105010189160,JPN
2-s2.0-105010239645,CAN
2-s2.0-105010239645,DEU
2-s2.0-85200205601,USA
2-s2.0-105010212185,USA
2-s2.0-105010183635,CHN
2-s2.0-105010204203,USA
2-s2.0-105010204203,GBR
2-s2.0-85199885704,USA
2-s2.0-85139544555,FRA
2-s2.0-105010193664,USA
2-s2.0-105010193664,GBR
2-s2.0-85200355719,GBR
2-s2.0-85198044612,USA
2-s2.0-105010194999,USA
2-s2.0-85147965137,USA
2-s2.0-85147965137,CHN
2-s2.0-85083953366,GBR
2-s2.0-105010203124,USA
2-s2.0-105010275533,USA
2-s2.0-105010212073,USA
2-s2.0-105010212073,GBR
2-s2.0-105010271056,GBR
2-s2.0-85167959574,USA
2-s2.0-85167959574,ARE
2-s2.0-105010249119,DEU
2-s2.0-105010192428,USA
2-s2.0-105010192428,DEU
2-s2.0-105010193999,CHN
2-s2.0-85148741798,USA
2-s2.0-85148741798,FRA
2-s2.0-85148741798,CAN
2-s2.0-85148741798,JPN
2-s2.0-85197596446,ITA
2-s2.0-85197596446,USA
2-s2.0-105010216558,CZE
2-s2.0-105010216558,ISR
2-s2.0-105010216558,CAN
2-s2.0-85198320712,CHN
2-s2.0-105010193511,CHN
2-s2.0-105010193511,SGP
2-s2.0-105010236158,ISR
2-s2.0-105010236158,DEU
2-s2.0-105010236158,USA
2-s2.0-85200569318,USA
2-s2.0-85200569318,CHN
2-s2.0-105010285449,DEU
2-s2.0-105010285449,CHE
2-s2.0-105010285449,CAN
2-s2.0-105010285449,USA
2-s2.0-105010285449,ITA
2-s2.0-105010272251,KOR
2-s2.0-105010202169,CHN
2-s2.0-105010202169,AUS
2-s2.0-105010228658,HKG
2-s2.0-105010228658,USA
2-s2.0-105010228658,CHN
2-s2.0-85192990403,CHE
2-s2.0-85192990403,USA
2-s2.0-105010214261,USA
2-s2.0-105010217531,CHE
2-s2.0-105010192551,AUS
2-s2.0-105010247166,CHN
2-s2.0-105010247166,USA
